,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
12554,554,1,1957,1000,1186077.108452217,21853.9561914242,1125,2.3014702267065565e-05,725.000724001448
12555,555,1000,1957,1000,1705.000574001148,21853.9561914242,1125,2.3014702267065565e-05,725.000724001448
12556,556,1,2004,1000,1228976.0984761969,26236.50882231568,1125,1.955247897356418e-05,465.0004640009281
12529,529,1000,2059,1000,2250.0,64500.63577596383,1125,8.052375205493125e-06,474.0004730009461
12557,557,1000,2004,1000,2250.0,26236.50882231568,1125,1.955247897356418e-05,465.0004640009281
12528,528,1,2059,1000,1292818.100443201,64500.63577596383,1125,8.052375205493125e-06,474.0004730009461
12526,526,1,2012,1000,1241338.1018382038,6372.592525394874,1125,8.738965500097785e-05,338.00033700067405
12499,499,1000,2020,1000,2250.0,19521.770286665997,1125,2.671549989492985e-05,652.0006510013021
12500,500,1,1956,1000,1177368.1008682016,41235.42584065257,1125,1.202831563486707e-05,585.000584001168
12501,501,1000,1956,1000,1636.000509001018,41235.42584065257,1125,1.202831563486707e-05,585.000584001168
12502,502,1,2006,1000,1238672.1059222117,31139.567002944103,1125,1.6430579357064788e-05,595.000594001188
12503,503,1000,2006,1000,2250.0,31139.567002944103,1125,1.6430579357064788e-05,595.000594001188
12504,504,1,1991,1000,1220894.10501921,46172.73306489728,1125,1.0925043927362993e-05,675.0006740013481
12505,505,1000,1991,1000,2018.000888001776,46172.73306489728,1125,1.0925043927362993e-05,675.0006740013481
12506,506,1,1970,1000,1196325.104075208,17513.16584439851,1125,2.912509568874598e-05,522.0005210010421
12507,507,1000,1970,1000,1743.00061500123,17513.16584439851,1125,2.912509568874598e-05,522.0005210010421
12508,508,1,1994,1000,1223658.104408209,48416.14051284095,1125,1.0428236904117763e-05,592.0005910011821
12509,509,1000,1994,1000,2233.0011010022017,48416.14051284095,1125,1.0428236904117763e-05,592.0005910011821
12510,510,1,1968,1000,1195330.1053302106,18096.56814505562,1125,2.812423333524665e-05,758.0007570015141
12511,511,1000,1968,1000,1696.000563001126,18096.56814505562,1125,2.812423333524665e-05,758.0007570015141
12512,512,1,1984,1000,1211793.1037932078,40172.28331031117,1125,1.253662615721295e-05,692.000691001382
12513,513,1000,1984,1000,1885.00075500151,40172.28331031117,1125,1.253662615721295e-05,692.000691001382
12514,514,1,1988,1000,1217796.1052962106,18214.026190467743,1125,2.8235276934659168e-05,547.0005460010921
12515,515,1000,1988,1000,1958.000827001654,18214.026190467743,1125,2.8235276934659168e-05,547.0005460010921
12516,516,1,2015,1000,1247158.1042832085,58110.78342069611,1125,8.761626490399295e-06,595.000594001188
12517,517,1000,2015,1000,2250.0,58110.78342069611,1125,8.761626490399295e-06,595.000594001188
12518,518,1,1973,1000,1198836.1032112066,23553.189615646043,1125,2.149249969894391e-05,518.000517001034
12519,519,1000,1973,1000,1753.0006250012502,23553.189615646043,1125,2.149249969894391e-05,518.000517001034
12520,520,1,2019,1000,1251229.1038542078,9006.162872548075,1125,6.018114440903199e-05,381.00038000076006
12521,521,1000,2019,1000,2250.0,9006.162872548075,1125,6.018114440903199e-05,381.00038000076006
12522,522,1,2027,1000,1267150.1107752214,25760.138791426674,1125,2.015755030641524e-05,624.000623001246
12523,523,1000,2027,1000,2250.0,25760.138791426674,1125,2.015755030641524e-05,624.000623001246
12524,524,1,1995,1000,1229667.1092922187,55992.49712498856,1125,9.006532842020604e-06,639.0006380012761
12525,525,1000,1995,1000,2207.0010700021403,55992.49712498856,1125,9.006532842020604e-06,639.0006380012761
12527,527,1000,2012,1000,2250.0,6372.592525394874,1125,8.738965500097785e-05,338.00033700067405
12558,558,1,2035,1000,1275859.110484221,42260.3652495582,1125,1.2216139386154745e-05,585.000584001168
12559,559,1000,2035,1000,2250.0,42260.3652495582,1125,1.2216139386154745e-05,585.000584001168
12560,560,1,2015,1000,1243668.100793202,56044.52849576206,1125,9.087974174363505e-06,568.0005670011341
12593,593,1000,1909,1000,1494.000364000728,65573.56612876368,1125,7.327339784165204e-06,563.0005620011241
12594,594,1,1912,1000,1127757.1007572017,37091.85665475344,1125,1.30674240869165e-05,578.000577001154
12595,595,1000,1912,1000,1509.000381000762,37091.85665475344,1125,1.30674240869165e-05,578.000577001154
12596,596,1,1980,1000,1208034.104534209,63197.03317297664,1125,7.908194475425562e-06,596.00059500119
12597,597,1000,1980,1000,1753.000626001252,63197.03317297664,1125,7.908194475425562e-06,596.00059500119
12598,598,1,2071,1000,1310637.1047622096,44269.87102748933,1125,1.185098094642398e-05,526.00052500105
12599,599,1000,2071,1000,2250.0,44269.87102748933,1125,1.185098094642398e-05,526.00052500105
12600,600,1,1936,1000,1155123.1011232024,14268.94420003565,1125,3.53613831178722e-05,460.00045900091806
12601,601,1000,1936,1000,1574.000446000892,14268.94420003565,1125,3.53613831178722e-05,460.00045900091806
12602,602,1,1979,1000,1207918.1055432109,51176.67702071868,1125,9.783080845784388e-06,563.0005620011241
12603,603,1000,1979,1000,1791.000661001322,51176.67702071868,1125,9.783080845784388e-06,563.0005620011241
12604,604,1,2099,1000,1339759.1023842047,19875.2996551282,1125,2.721745828904102e-05,474.0004730009461
