,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
12694,694,1,108144,100,2161792.095,18559.01625767802,20,5.3890387223690464e-05,0.898
12695,695,100,108144,100,83022.307,18559.01625767802,20,5.3890387223690464e-05,0.898
12696,696,1,126748,100,2533922.791,22209.13293745663,20,4.503153265287108e-05,0.898
12697,697,100,126748,100,101902.514,22209.13293745663,20,4.503153265287108e-05,0.898
12698,698,1,133709,100,2673098.437,24279.03975475339,20,4.119090384860695e-05,0.898
12699,699,100,133709,100,118781.92,24279.03975475339,20,4.119090384860695e-05,0.898
12700,700,1,126783,100,2534646.863,25898.129482993118,20,3.861217801009204e-05,8.598
12625,625,100,129400,100,179468.549,21884.03367987261,20,4.570185157027943e-05,1.209
12701,701,100,126783,100,110067.981,25898.129482993118,20,3.861217801009204e-05,8.598
12703,703,100,126802,100,115278.51,22638.42355939227,20,4.417686388678988e-05,1.001
12704,704,1,126023,100,2519473.869,22506.83380766442,20,4.443516392274772e-05,1.06
12705,705,100,126023,100,116725.203,22506.83380766442,20,4.443516392274772e-05,1.06
12706,706,1,128884,100,2576657.405,33851.26435056831,20,2.953551672810501e-05,12.043
12707,707,100,128884,100,135873.931,33851.26435056831,20,2.953551672810501e-05,12.043
12708,708,1,109454,100,2188019.713,18650.73070069286,20,5.362569352539411e-05,1.001
12709,709,100,109454,100,111952.937,18650.73070069286,20,5.362569352539411e-05,1.001
12710,710,1,107389,100,2146730.466,19477.053499305923,20,5.134735863976326e-05,0.898
12711,711,100,107389,100,97742.764,19477.053499305923,20,5.134735863976326e-05,0.898
12712,712,1,123437,100,2467761.114,21918.109952269144,20,4.562902964980003e-05,0.898
12713,713,100,123437,100,78445.203,21918.109952269144,20,4.562902964980003e-05,0.898
12714,714,1,117549,100,2349948.503,21218.856809099805,20,4.713220558752872e-05,0.898
12715,715,100,117549,100,103961.92,21218.856809099805,20,4.713220558752872e-05,0.898
12702,702,1,126802,100,2535035.418,22638.42355939227,20,4.417686388678988e-05,1.001
12747,747,100,131748,100,117916.782,23836.967341462736,20,4.195499074248715e-05,0.898
12624,624,1,129400,100,2586922.632,21884.03367987261,20,4.570185157027943e-05,1.209
12622,622,1,135642,100,2711834.949,22572.04178449097,20,4.4309178142564426e-05,1.92
12532,532,1,121823,100,2435419.876,26459.183854601742,20,3.7791590685062506e-05,9.548
12533,533,100,121823,100,141607.615,26459.183854601742,20,3.7791590685062506e-05,9.548
12534,534,1,120073,100,2400466.409,21674.08682430881,20,4.614218090045355e-05,0.898
12535,535,100,120073,100,124255.119,21674.08682430881,20,4.614218090045355e-05,0.898
12536,536,1,115983,100,2318686.666,19951.9357935688,20,5.012746350151108e-05,1.001
12537,537,100,115983,100,156044.351,19951.9357935688,20,5.012746350151108e-05,1.001
12538,538,1,120599,100,2410944.065,27231.865756523683,20,3.671819122077078e-05,9.405
12539,539,100,120599,100,120908.549,27231.865756523683,20,3.671819122077078e-05,9.405
12540,540,1,115732,100,2313620.782,20536.0003550291,20,4.870030652009931e-05,1.001
12541,541,100,115732,100,128793.476,20536.0003550291,20,4.870030652009931e-05,1.001
12542,542,1,118279,100,2364552.605,22014.09436691057,20,4.542829225489527e-05,0.898
12543,543,100,118279,100,111480.898,22014.09436691057,20,4.542829225489527e-05,0.898
12544,544,1,120691,100,2412719.279,28347.38801555054,20,3.527226426830634e-05,8.549
12545,545,100,120691,100,175627.981,28347.38801555054,20,3.527226426830634e-05,8.549
12546,546,1,115131,100,2301590.562,22264.8474142102,20,4.49151663750589e-05,2.844
12547,547,100,115131,100,142535.994,22264.8474142102,20,4.49151663750589e-05,2.844
12548,548,1,113240,100,2263734.187,19773.00722062281,20,5.058047276521206e-05,1.06
12549,549,100,113240,100,104061.92,19773.00722062281,20,5.058047276521206e-05,1.06
12550,550,1,114673,100,2292410.292,19899.78597750488,20,5.025846335621503e-05,0.898
12551,551,100,114673,100,131307.532,19899.78597750488,20,5.025846335621503e-05,0.898
12552,552,1,101314,100,2025225.768,18266.15932764549,20,5.475192789421364e-05,1.001
12553,553,100,101314,100,129532.607,18266.15932764549,20,5.475192789421364e-05,1.001
12554,554,1,127187,100,2542714.309,21795.310721615868,20,4.588744559565623e-05,1.001
12555,555,100,127187,100,94628.854,21795.310721615868,20,4.588744559565623e-05,1.001
12556,556,1,123434,100,2467666.252,21085.4058616235,20,4.743271824198333e-05,1.06
12557,557,100,123434,100,122156.908,21085.4058616235,20,4.743271824198333e-05,1.06
12558,558,1,128686,100,2572662.332,22173.61828222198,20,4.510425932464111e-05,0.898
12531,531,100,125382,100,105715.577,21599.82298814505,20,4.630260647694504e-05,1.001
12559,559,100,128686,100,127696.829,22173.61828222198,20,4.510425932464111e-05,0.898
