,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
1449,1449,100,1045,100,36.682,7.999571572316181,1,0.1284373069425906,0.279
1448,1448,1,1045,100,1001.877,7.999571572316181,1,0.1284373069425906,0.279
1447,1447,100,1090,100,34.663,10.367601694364623,1,0.096509176831292,0.546
1446,1446,1,1090,100,1042.594,10.367601694364623,1,0.096509176831292,0.546
1445,1445,100,905,100,51.776,7.560730988247672,1,0.1345108902494792,0.121
1444,1444,1,905,100,857.816,7.560730988247672,1,0.1345108902494792,0.121
1443,1443,100,1126,100,56.511,8.112353050510736,1,0.127477446283099,0.353
1442,1442,1,1126,100,1086.027,8.112353050510736,1,0.127477446283099,0.353
1441,1441,100,1117,100,97.463,7.629605852918152,1,0.1365612869871892,0.412
1440,1440,1,1117,100,1075.064,7.629605852918152,1,0.1365612869871892,0.412
1467,1467,100,813,100,39.84,6.295026695213034,1,0.1640712231738952,0.312
1439,1439,100,1043,100,53.898,7.574053596136832,1,0.136699853017164,0.632
1468,1468,1,940,100,897.8679999999999,7.320598337444202,1,0.1403861921852851,0.226
1470,1470,1,991,100,951.789,7.470890260357086,1,0.1380996412585595,0.473
1497,1497,100,856,100,41.245,6.705887381540534,1,0.1534076403041664,0.156
1496,1496,1,856,100,812.193,6.705887381540534,1,0.1534076403041664,0.156
1495,1495,100,1150,100,57.48,9.141466874748453,1,0.1116561478246632,0.296
1494,1494,1,1150,100,1108.816,9.141466874748453,1,0.1116561478246632,0.296
1493,1493,100,846,100,43.907,6.470721296881494,1,0.1597815929672001,0.262
1492,1492,1,846,100,805.357,6.470721296881494,1,0.1597815929672001,0.262
1491,1491,100,1004,100,51.568,7.559761588516397,1,0.1364238231917721,0.28
1490,1490,1,1004,100,963.592,7.559761588516397,1,0.1364238231917721,0.28
1489,1489,100,921,100,46.222,7.940127285831844,1,0.1275081277723288,0.234
1488,1488,1,921,100,874.052,7.940127285831844,1,0.1275081277723288,0.234
1487,1487,100,920,100,41.369,7.798506087157393,1,0.130224098518268,0.62
1486,1486,1,920,100,877.788,7.798506087157393,1,0.130224098518268,0.62
1485,1485,100,1008,100,53.296,7.235640375058597,1,0.1435102885700367,0.356
1484,1484,1,1008,100,966.453,7.235640375058597,1,0.1435102885700367,0.356
1483,1483,100,945,100,67.203,6.852840358938479,1,0.151627869471168,0.329
1482,1482,1,945,100,903.08,6.852840358938479,1,0.151627869471168,0.329
1481,1481,100,1014,100,56.368,8.58817463664992,1,0.1180886321561465,0.113
1480,1480,1,1014,100,968.46,8.58817463664992,1,0.1180886321561465,0.113
1479,1479,100,936,100,40.438,7.392449533942141,1,0.1387809213399793,0.262
1478,1478,1,936,100,895.45,7.392449533942141,1,0.1387809213399793,0.262
1477,1477,100,900,100,34.801,7.339539886780073,1,0.1391135984540633,0.144
1476,1476,1,900,100,854.89,7.339539886780073,1,0.1391135984540633,0.144
1475,1475,100,926,100,34.228,7.512693770432065,1,0.1359518508788547,0.139
1474,1474,1,926,100,881.074,7.512693770432065,1,0.1359518508788547,0.139
1473,1473,100,1011,100,65.198,8.507649399372067,1,0.1193382679768305,0.124
1472,1472,1,1011,100,967.471,8.507649399372067,1,0.1193382679768305,0.124
1471,1471,100,991,100,36.801,7.470890260357086,1,0.1380996412585595,0.473
1469,1469,100,940,100,47.241,7.320598337444202,1,0.1403861921852851,0.226
1438,1438,1,1043,100,1001.413,7.574053596136832,1,0.136699853017164,0.632
1437,1437,100,991,100,50.727,8.10916096393649,1,0.1256523146971976,0.113
1436,1436,1,991,100,945.183,8.10916096393649,1,0.1256523146971976,0.113
1403,1403,100,850,100,32.946,6.472836088771497,1,0.1598153242145857,0.519
1402,1402,1,850,100,808.994,6.472836088771497,1,0.1598153242145857,0.519
1401,1401,100,1077,100,47.366,8.214602868054198,1,0.1250845266547562,0.491
1400,1400,1,1077,100,1036.409,8.214602868054198,1,0.1250845266547562,0.491
1399,1399,100,879,100,56.388,6.200655306368948,1,0.1688857028789312,0.331
1398,1398,1,879,100,837.789,6.200655306368948,1,0.1688857028789312,0.331
1397,1397,100,1013,100,48.307,6.616846679352017,1,0.1593617518568928,0.519
1396,1396,1,1013,100,973.762,6.616846679352017,1,0.1593617518568928,0.519
1395,1395,100,1020,100,57.819,8.264181986639642,1,0.1233743480733564,0.129
1394,1394,1,1020,100,972.486,8.264181986639642,1,0.1233743480733564,0.129
1393,1393,100,928,100,53.368,7.276407183429,1,0.1410495172153328,0.177
1392,1392,1,928,100,882.227,7.276407183429,1,0.1410495172153328,0.177
1391,1391,100,1064,100,41.836,8.482070360218447,1,0.1204365470526462,0.169
1390,1390,1,1064,100,1020.708,8.482070360218447,1,0.1204365470526462,0.169
1389,1389,100,979,100,48.577,8.074335832065042,1,0.1261021062342001,0.151
1388,1388,1,979,100,934.233,8.074335832065042,1,0.1261021062342001,0.151
1387,1387,100,920,100,36.625,7.024189614043018,1,0.1467791259830565,0.28
1386,1386,1,920,100,875.629,7.024189614043018,1,0.1467791259830565,0.28
1385,1385,100,914,100,42.307,6.685386092861661,1,0.155403125486892,0.307
1384,1384,1,914,100,872.453,6.685386092861661,1,0.155403125486892,0.307
1383,1383,100,958,100,30.069,7.81748341623384,1,0.1305372177561146,0.214
1382,1382,1,958,100,916.311,7.81748341623384,1,0.1305372177561146,0.214
1381,1381,100,973,100,70.756,7.895597463726015,1,0.1292809442473561,0.207
1380,1380,1,973,100,929.681,7.895597463726015,1,0.1292809442473561,0.207
1379,1379,100,899,100,39.366,7.613192931711202,1,0.1334611833428704,0.156
1378,1378,1,899,100,857.501,7.613192931711202,1,0.1334611833428704,0.156
1377,1377,100,923,100,51.662,6.862165988199076,1,0.1509437503853155,0.333
1404,1404,1,1091,100,1048.859,8.437615991242783,1,0.1214969992762855,0.199
1405,1405,100,1091,100,56.486,8.437615991242783,1,0.1214969992762855,0.199
1406,1406,1,958,100,916.004,8.26844186498948,1,0.122481084657125,0.667
1407,1407,100,958,100,51.476,8.26844186498948,1,0.122481084657125,0.667
1435,1435,100,922,100,45.136,6.822262658132947,1,0.1519552264551217,0.307
1434,1434,1,922,100,880.638,6.822262658132947,1,0.1519552264551217,0.307
1433,1433,100,1106,100,55.263,9.10918537384515,1,0.1116105105349001,0.232
1432,1432,1,1106,100,1061.271,9.10918537384515,1,0.1116105105349001,0.232
1431,1431,100,1174,100,53.264,9.271440097869776,1,0.1100536953169237,0.121
1430,1430,1,1174,100,1125.798,9.271440097869776,1,0.1100536953169237,0.121
1429,1429,100,1060,100,37.179,8.540579920324724,1,0.1193910353455246,0.133
1428,1428,1,1060,100,1012.21,8.540579920324724,1,0.1193910353455246,0.133
1427,1427,100,945,100,51.944,8.064383876964403,1,0.1257275315915294,0.129
1426,1426,1,945,100,899.96,8.064383876964403,1,0.1257275315915294,0.129
1425,1425,100,1125,100,38.944,8.657792076271372,1,0.118432990536779,0.341
1424,1424,1,1125,100,1085.333,8.657792076271372,1,0.118432990536779,0.341
1423,1423,100,971,100,47.664,6.575611970336479,1,0.1596646939301683,0.472
1375,1375,100,1082,100,48.115,8.136474501331111,1,0.1264183213516347,0.222
1422,1422,1,971,100,929.737,6.575611970336479,1,0.1596646939301683,0.472
1420,1420,1,1051,100,1005.876,8.081726816809827,1,0.1270028848314899,0.201
1419,1419,100,977,100,34.482,8.67973073141705,1,0.1162202843174382,0.583
1418,1418,1,977,100,934.082,8.67973073141705,1,0.1162202843174382,0.583
1417,1417,100,917,100,41.781,6.982431316363885,1,0.147746802031797,0.162
1416,1416,1,917,100,873.159,6.982431316363885,1,0.147746802031797,0.162
1415,1415,100,961,100,42.438,9.175697661209185,1,0.1089759275449127,0.688
1414,1414,1,961,100,917.018,9.175697661209185,1,0.1089759275449127,0.688
1413,1413,100,1014,100,37.678,7.565988600516647,1,0.1363736716240526,0.382
1412,1412,1,1014,100,969.739,7.565988600516647,1,0.1363736716240526,0.382
1411,1411,100,833,100,43.138,7.175501546992613,1,0.1412420726882624,0.113
1410,1410,1,833,100,787.521,7.175501546992613,1,0.1412420726882624,0.113
1409,1409,100,989,100,52.347,7.851636079754601,1,0.130363201443974,0.281
1408,1408,1,989,100,945.859,7.851636079754601,1,0.130363201443974,0.281
1421,1421,100,1051,100,42.428,8.081726816809827,1,0.1270028848314899,0.201
1498,1498,1,971,100,925.539,7.1385933543945335,1,0.1450207963598217,0.153
1250,1250,1,1027,100,988.016,7.595523202553193,1,0.1360716701747925,0.344
1248,1248,1,925,100,882.904,7.213511888274301,1,0.1424970264285061,0.212
1091,1091,100,1018,100,52.113,8.370700687981275,1,0.1216004478652615,0.113
1090,1090,1,1018,100,972.059,8.370700687981275,1,0.1216004478652615,0.113
1089,1089,100,1033,100,55.641,8.18142223844638,1,0.1250271834907197,0.146
1088,1088,1,1033,100,989.032,8.18142223844638,1,0.1250271834907197,0.146
1087,1087,100,1001,100,63.203,8.876121297615452,1,0.1136505481829534,0.085
1086,1086,1,1001,100,957.187,8.876121297615452,1,0.1136505481829534,0.085
1085,1085,100,889,100,38.272,6.995964530077495,1,0.1468214696177783,0.178
1084,1084,1,889,100,845.539,6.995964530077495,1,0.1468214696177783,0.178
1083,1083,100,992,100,41.752,8.123688074469582,1,0.1254365570133088,0.113
1082,1082,1,992,100,947.534,8.123688074469582,1,0.1254365570133088,0.113
1081,1081,100,951,100,42.278,8.369333201810035,1,0.1206781195675181,0.113
1080,1080,1,951,100,907.419,8.369333201810035,1,0.1206781195675181,0.113
1079,1079,100,941,100,58.412,7.569478938542916,1,0.1350472790796479,0.874
1078,1078,1,941,100,895.431,7.569478938542916,1,0.1350472790796479,0.874
1077,1077,100,793,100,45.615,6.097155474385257,1,0.1698339476143048,0.25
1076,1076,1,793,100,754.588,6.097155474385257,1,0.1698339476143048,0.25
1075,1075,100,917,100,31.559,7.349305498269504,1,0.1392465178551008,0.159
1074,1074,1,917,100,872.021,7.349305498269504,1,0.1392465178551008,0.159
1073,1073,100,943,100,36.199,7.684274291856753,1,0.1327864221899815,0.146
1072,1072,1,943,100,897.73,7.684274291856753,1,0.1327864221899815,0.146
1071,1071,100,1002,100,39.632,8.469530431520347,1,0.1198297276580756,0.191
1070,1070,1,1002,100,959.122,8.469530431520347,1,0.1198297276580756,0.191
1069,1069,100,1023,100,50.927,8.285760591391716,1,0.1231179644232757,0.264
1068,1068,1,1023,100,979.458,8.285760591391716,1,0.1231179644232757,0.264
1067,1067,100,907,100,59.665,6.589259815471026,1,0.1579420282072253,0.369
1066,1066,1,907,100,866.9889999999999,6.589259815471026,1,0.1579420282072253,0.369
1065,1065,100,1171,100,48.351,8.853118157633501,1,0.1159152835628238,0.279
1092,1092,1,910,100,864.8389999999999,6.985408868639665,1,0.1474903943888676,0.213
1064,1064,1,1171,100,1127.495,8.853118157633501,1,0.1159152835628238,0.279
1093,1093,100,910,100,46.755,6.985408868639665,1,0.1474903943888676,0.213
1095,1095,100,1148,100,55.783,8.657849894872552,1,0.1186020707189787,0.178
1122,1122,1,896,100,853.403,7.031386644867765,1,0.1461430150156338,0.199
1121,1121,100,1028,100,70.981,8.349400101792614,1,0.1220990890464732,0.418
1120,1120,1,1028,100,982.799,8.349400101792614,1,0.1220990890464732,0.418
1119,1119,100,817,100,44.46,6.010870655789555,1,0.1728877179004214,0.123
1118,1118,1,817,100,763.681,6.010870655789555,1,0.1728877179004214,0.123
1117,1117,100,920,100,51.177,7.571973060764839,1,0.1346818995604255,0.481
1116,1116,1,920,100,877.795,7.571973060764839,1,0.1346818995604255,0.481
1115,1115,100,935,100,39.504,7.630308889770228,1,0.1337370363411139,0.152
1114,1114,1,935,100,890.7429999999999,7.630308889770228,1,0.1337370363411139,0.152
1113,1113,100,984,100,44.44,9.825722547926906,1,0.1012397635089416,0.524
1112,1112,1,984,100,936.764,9.825722547926906,1,0.1012397635089416,0.524
1111,1111,100,954,100,29.888,7.111934050749454,1,0.1453996648190506,0.213
1110,1110,1,954,100,911.319,7.111934050749454,1,0.1453996648190506,0.213
1109,1109,100,1106,100,40.482,8.129429237582137,1,0.1268863507500384,0.35
1108,1108,1,1106,100,1062.794,8.129429237582137,1,0.1268863507500384,0.35
1107,1107,100,955,100,46.413,7.349031746825443,1,0.1400127592480279,0.21
1106,1106,1,955,100,911.739,7.349031746825443,1,0.1400127592480279,0.21
1105,1105,100,1001,100,47.82,8.546414071409327,1,0.1185633883128546,0.45
1104,1104,1,1001,100,955.65,8.546414071409327,1,0.1185633883128546,0.45
1103,1103,100,881,100,41.203,6.329264720310307,1,0.164830066518588,0.345
1102,1102,1,881,100,837.8689999999999,6.329264720310307,1,0.164830066518588,0.345
1101,1101,100,944,100,33.162,7.87328012187764,1,0.1292175910752228,0.692
1100,1100,1,944,100,900.758,7.87328012187764,1,0.1292175910752228,0.692
1099,1099,100,1013,100,60.556,7.801652752746443,1,0.1316624320192486,0.239
1098,1098,1,1013,100,968.674,7.801652752746443,1,0.1316624320192486,0.239
1097,1097,100,951,100,37.945,7.542472992878796,1,0.1358186536876122,0.666
1096,1096,1,951,100,907.184,7.542472992878796,1,0.1358186536876122,0.666
1094,1094,1,1148,100,1102.941,8.657849894872552,1,0.1186020707189787,0.178
1063,1063,100,853,100,43.268,8.40811565971076,1,0.1183547341905097,0.72
1062,1062,1,853,100,809.893,8.40811565971076,1,0.1183547341905097,0.72
1061,1061,100,1025,100,55.771,9.753453981860122,1,0.1025881227572423,0.563
1028,1028,1,951,100,910.728,6.306495559744536,1,0.1672974140468841,0.653
