,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
237,100,215,100,7985.000109000218,5316.454066296775,1125,0.00011469884518466331,272.000271000542
238,1,196,100,118586.01048602097,914.2626219270695,1125,0.0015839110692653408,2.0000010000020003
239,100,196,100,7966.00009000018,914.2626219270695,1125,0.0015839110692653408,2.0000010000020003
240,1,196,100,117621.00952101905,4044.6744049017943,1125,0.0001421937468522252,261.00026000052003
241,100,196,100,5663.000037000074,4044.6744049017943,1125,0.0001421937468522252,261.00026000052003
242,1,201,100,123974.0102490205,2637.626389240488,1125,0.0002486527856739108,306.00030500061
243,100,201,100,7918.000042000084,2637.626389240488,1125,0.0002486527856739108,306.00030500061
244,1,189,100,107968.00774301549,1338.7946478308106,1125,0.0006135215431705521,181.00018000036002
245,100,189,100,4724.000223000446,1338.7946478308106,1125,0.0006135215431705521,181.00018000036002
246,1,213,100,136849.00962401924,1207.0533620480205,1125,0.0009396827107052178,78.00007700015401
247,100,213,100,7995.000119000238,1207.0533620480205,1125,0.0009396827107052178,78.00007700015401
248,1,199,100,122712.01123702247,2283.27652800783,1125,0.0002984984462275276,159.00015800031602
249,100,199,100,7947.000071000142,2283.27652800783,1125,0.0002984984462275276,159.00015800031602
250,1,206,100,131176.01182602366,1079.1499070556877,1125,0.0011631879242139265,1.0
251,100,206,100,12411.00003500007,1079.1499070556877,1125,0.0011631879242139265,1.0
252,1,181,100,101426.0102010204,2040.2203624077974,1125,0.00030240368887929575,263.000262000524
253,100,181,100,9397.000396000793,2040.2203624077974,1125,0.00030240368887929575,263.000262000524
254,1,172,100,90726.00962601925,725.3781075227521,1125,0.0021152192308514406,1.0
255,100,172,100,5641.00001500003,725.3781075227521,1125,0.0021152192308514406,1.0
256,1,200,100,123982.01138202277,3951.554668527154,1125,0.00015007603099579132,296.00029500059003
257,100,200,100,7967.000091000182,3951.554668527154,1125,0.00015007603099579132,296.00029500059003
258,1,199,100,122424.0109490219,1756.3687761541496,1125,0.0004359440242568204,183.00018200036402
259,100,199,100,5689.000063000126,1756.3687761541496,1125,0.0004359440242568204,183.00018200036402
260,1,210,100,136163.01231302464,4455.127579195637,1125,0.00013760083056591247,364.00036300072605
261,100,210,100,6963.000212000424,4455.127579195637,1125,0.00013760083056591247,364.00036300072605
262,1,186,100,107577.01072702146,817.508133239288,1125,0.0019334748822664191,2.0000010000020003
263,100,186,100,5742.000116000232,817.508133239288,1125,0.0019334748822664191,2.0000010000020003
264,1,188,100,107920.00882001764,1395.0135966963073,1125,0.0005701603446739557,192.00019100038202
265,100,188,100,6757.000006000012,1395.0135966963073,1125,0.0005701603446739557,192.00019100038202
266,1,227,100,154239.01126402253,2059.197945203789,1125,0.00040549309387301216,211.00021000042003
267,100,227,100,8032.000156000312,2059.197945203789,1125,0.00040549309387301216,211.00021000042003
268,1,198,100,119245.00889501779,6426.079854616861,1125,8.498690664214746e-05,211.00021000042003
269,100,198,100,5729.000103000206,6426.079854616861,1125,8.498690664214746e-05,211.00021000042003
270,1,170,100,89409.01055902112,816.8220977821418,1125,0.0014155499273860398,127.00012600025201
271,100,170,100,6877.000126000252,816.8220977821418,1125,0.0014155499273860398,127.00012600025201
272,1,185,100,105378.00965301931,1204.4008377996538,1125,0.0007237975987203016,180.00017900035803
273,100,185,100,11276.00002500005,1204.4008377996538,1125,0.0007237975987203016,180.00017900035803
274,1,179,100,99356.01038102077,2068.2538968258195,1125,0.0002916620425225651,248.00024700049403
275,100,179,100,5658.000032000064,2068.2538968258195,1125,0.0002916620425225651,248.00024700049403
276,1,186,100,108679.01182902366,876.3609898738196,1125,0.001583090173347838,58.000057000114005
277,100,186,100,10291.00016500033,876.3609898738196,1125,0.001583090173347838,58.000057000114005
278,1,220,100,147742.0126420253,9880.092404155195,1125,5.923356750311428e-05,356.00035500071004
279,100,220,100,9145.000144000289,9880.092404155195,1125,5.923356750311428e-05,356.00035500071004
280,1,206,100,128622.00927201855,2595.930623562047,1125,0.00026099393931091903,226.00022500045003
281,100,206,100,7908.000032000064,2595.930623562047,1125,0.00026099393931091903,226.00022500045003
282,1,190,100,112759.01140902282,3305.4270836359833,1125,0.00017466498569830279,347.00034600069205
283,100,190,100,5748.000122000244,3305.4270836359833,1125,0.00017466498569830279,347.00034600069205
284,1,179,100,100270.01129502259,2574.3984312644275,1125,0.00021911132955019624,232.000231000462
285,100,179,100,8020.000144000288,2574.3984312644275,1125,0.00021911132955019624,232.000231000462
286,1,182,100,102086.00973601948,901.5495611923257,1125,0.0013226657565484046,54.00005300010601
287,100,182,100,6773.000022000044,901.5495611923257,1125,0.0013226657565484046,54.00005300010601
